Dish (cleaned),Unnamed: 0,Dish,Total_ingredients,Matched,Coverage_pct,Matched_ingredients,Missing_ingredients
achar,43,Achar,8,1,88.88888889,"mustard seeds, chili, turmeric, salt, lime, fenugreek, fennel seeds, mustard oil",mango
aloo gobi,4,aloo gobi,12,12,100,"cauliflower, cumin, garam masala, garlic, ginger, oil, onion, potato, red chili, salt, tomato, turmeric",
aloo matar,5,aloo matar,12,12,100,"cumin, garam masala, garlic, ginger, oil, onion, peas, potato, red chili, salt, tomato, turmeric",
aloo methi,13,aloo methi,10,10,100,"cumin, fenugreek, garam masala, garlic, green chili, oil, onion, potato, salt, turmeric",
aloo puri,47,Aloo Puri,8,0,100,"flour, oil, salt, potato, onion, tomato, cumin, turmeric",
aloo tikki,48,Aloo Tikki,8,0,100,"potato, onion, chili, Coriadner seeds, cumin, salt, oil, bread crumbs",
appam,49,Appam,4,1,80,"rice, salt, coconut milk, sugar",yeast
apple,50,Apple,1,0,100,apple,
apple pie,51,Apple Pie,4,1,80,"flour, cinnamon, apple, sugar",dairy
bagels,52,Bagels,4,1,80,"flour, salt, water, sugar",yeast
baingan bharta,30,baingan bharta,11,10,90.9,"cumin, garam masala, garlic, ginger, green chili, oil, onion, salt, tomato, turmeric",eggplant
banana,54,Banana,1,0,100,banana,
basundi,55,Basundi,5,1,83.33333333,"cardamom, saffron, almonds, pistachios, sugar",dairy
beetroot,56,Beetroot,6,1,85.71428571,"onion, chili, mustard seeds, cumin, turmeric, salt",beetroot
besan cheela,57,Besan Cheela,8,0,100,"flour, onion, tomato, chili, Coriadner seeds, turmeric, salt, oil",
besan laddu,58,Besan Laddu,6,1,85.71428571,"flour, cardamom, cashews, almonds, raisins, sugar",dairy
bhindi masala,14,bhindi masala,10,10,100,"coriander, cumin, garam masala, green chili, oil, okra, onion, salt, tomato, turmeric",
biryani,60,Biryani,13,3,81.25,"onion, tomato, ginger, garlic, bay leaf, cloves, cinnamon, cardamom, cumin, turmeric, saffron, salt, rice","dairy, meat, mint leaves"
boondi,61,Boondi,4,0,100,"flour, salt, oil, sugar",
butter chicken,62,Butter Chicken,10,2,83.33333333,"chicken, onion, tomato, ginger, garlic, cumin, turmeric, chili, masala, salt","dairy, dairy"
cabbage,63,Cabbage,7,0,100,"cabbage, onion, Chili, mustard seeds, cumin, turmeric, salt",
canned potatoes,64,Canned Potatoes,3,0,100,"potato, salt, water",
capsicum,65,Capsicum,6,0,100,"capsicum, onion, tomato, cumin, turmeric, salt",
carrots,66,Carrots,7,0,100,"onion, chili, mustard seeds, cumin, turmeric, salt, carrot",
cauliflower,67,Cauliflower,7,0,100,"cauliflower, potato, onion, tomato, cumin, turmeric, salt",
chai,68,Chai,5,1,83.33333333,"ginger, cardamom, tea leaves, water, sugar",dairy
chana masala,8,chana masala,12,12,100,"chickpeas, coriander, cumin, garam masala, garlic, ginger, oil, onion, red chili, salt, tomato, turmeric",
chapati,70,Chapati,4,0,100,"wheat flour, water, salt, oil",
chicken rezala,71,Chicken Rezala,12,1,92.30769231,"chicken, yogurt, ginger, garlic, cashews, cardamom, cinnamon, cloves, bay leaf, onion, ghee, salt",poppy seeds
chicken tikka,72,Chicken Tikka,9,0,100,"chicken, yogurt, ginger, garlic, turmeric, cumin, red chili powder, garam masala, salt",
chicken tikka masala,73,Chicken Tikka Masala,11,1,91.66666667,"chicken, ginger, garlic, cumin, turmeric, butter, onion, tomato puree, garam masala, red chili powder, salt",cream
chilli pepper,74,Chilli Pepper,2,0,100,"green chili, red chili",
chilli potato,75,Chilli Potato,8,1,88.88888889,"garlic, ginger, potato, onion, capsicum, soy sauce, chili sauce, salt",vinegar
chole bhature,76,Chole Bhature,12,0,100,"ginger, garlic, cumin, turmeric, yogurt, chickpeas, onion, tomato, garam masala, flour, oil, salt",
chop suey,77,Chop Suey,8,1,88.88888889,"cabbage, garlic, ginger, carrot, capsicum, onion, soy sauce, salt",vinegar
chow mein,78,Chow Mein,8,2,80,"cabbage, garlic, ginger, carrot, capsicum, onion, soy sauce, salt","noodles, vinegar"
cooked oatmeal,79,Cooked Oatmeal,4,1,80,"milk, water, sugar, salt",oats
cooked pasta,80,Cooked Pasta,3,0,100,"pasta, water, salt",
corn,81,Corn,1,0,100,corn,
cucumber,82,Cucumber,1,0,100,cucumber,
dal makhani,34,dal makhani,9,8,88.9,"black gram (urad dal), butter, garam masala, garlic, ginger, red chili, salt, tomato",kidney beans
dal tadka,18,dal tadka,9,9,100,"cumin, garlic, ghee, onion, pigeon peas (toor dal), red chili, salt, tomato, turmeric",
dhokla,85,Dhokla,8,0,100,"yogurt, ginger, mustard seeds, gram flour, green chili, curry leaves, sugar, salt",
doughnut,86,Doughnut,5,1,83.33333333,"butter, milk, flour, sugar, oil",yeast
dum aloo,87,Dum Aloo,10,0,100,"yogurt, ginger, garlic, cumin, turmeric, potato, onion, tomato, garam masala, salt",
fried chicken,88,Fried Chicken,7,0,100,"chicken, garlic, black pepper, flour, egg, salt, oil",
fried rice,89,Fried Rice,9,0,100,"garlic, ginger, rice, egg, carrot, capsicum, onion, soy sauce, salt",
gajar ka halwa,90,Gajar ka Halwa,7,0,100,"milk, cardamom, cashews, almonds, carrot, sugar, ghee",
garlic,91,Garlic,1,0,100,garlic,
ginger,92,Ginger,1,0,100,ginger,
gobi manchurian,93,Gobi Manchurian,8,1,88.88888889,"cauliflower, garlic, ginger, onion, capsicum, soy sauce, chili sauce, salt",vinegar
grape,94,Grape,1,0,100,grape,
gujiya,95,Gujiya,6,1,85.71428571,"cardamom, cashews, raisins, flour, sugar, ghee",khoya
idli,96,Idli,4,0,100,"rice, urad dal, salt, water",
imarti,97,Imarti,5,0,100,"cardamom, urad dal, sugar, ghee, saffron",
jalebi,98,Jalebi,5,0,100,"yogurt, flour, sugar, saffron, ghee",
kachori,99,Kachori,8,0,100,"cumin, flour, onion, potato, peas, chili powder, salt, oil",
kadai paneer,6,kadai paneer,12,12,100,"capsicum, coriander, cumin, garam masala, garlic, ginger, oil, onion, paneer, red chili, salt, tomato",
kadhi pakoda,101,Kadhi Pakoda,12,0,100,"yogurt, ginger, garlic, turmeric, cumin, mustard seeds, gram flour, onion, chili powder, curry leaves, oil, salt",
kaju katli,102,Kaju Katli,4,0,100,"cashews, cardamom, sugar, ghee",
kalakand,103,Kalakand,4,0,100,"milk, cardamom, sugar, ghee",
kathi roll,104,Kathi Roll,10,0,100,"chicken, yogurt, flour, onion, capsicum, green chili, tomato, chili powder, salt, oil",
kebabs,105,Kebabs,8,1,88.88888889,"ginger, garlic, cumin, onion, green chili, Coriander seeds, chili powder, salt",meat
khandvi,106,Khandvi,8,0,100,"yogurt, ginger, turmeric, mustard seeds, gram flour, green chili, curry leaves, salt",
khichdi,27,khichdi,6,6,100,"cumin, ghee, pigeon peas (toor dal), rice, salt, turmeric",
kiwi,108,Kiwi,1,0,100,kiwi,
kofta,109,Kofta,10,0,100,"ginger, garlic, cumin, turmeric, paneer, onion, tomato,Coriander seeds, garam masala, salt",cream
kulfi,110,Kulfi,6,0,100,"milk, cardamom, almonds, pistachios, sugar, saffron",
lassi,111,Lassi,4,0,100,"yogurt, cardamom, sugar, water",
lemon,112,Lemon,1,0,100,lemon,
lettuce,114,Lettuce,1,0,100,lettuce,
litti chokha,115,Litti Chokha,9,1,90,"wheat flour, garlic, gram flour, mustard oil, onion, green chili, Coriadner seeds , tomato, salt",brinjal
malpua,116,Malpua,6,0,100,"milk, cardamom, flour, sugar, fennel seeds, ghee",
masala dosa,16,masala dosa,10,10,100,"black gram (urad dal), curry leaves, green chili, mustard seeds, oil, onion, potato, rice, salt, turmeric",
medu vada,23,medu vada,6,6,100,"black gram (urad dal), curry leaves, ginger, green chili, oil, salt",
mishti doi,119,Mishti Doi,3,0,100,"yogurt, milk, sugar",
missi roti,120,Missi Roti,7,0,100,"wheat flour, ginger, gram flour, onion, green chili, Coriadner seeds, salt",
modak,121,Modak,5,0,100,"cardamom, rice flour, jaggery, coconut, ghee",
momos,122,Momos,10,0,100,"cabbage, garlic, ginger, flour, carrot, onion, green chili, soy sauce, salt, oil",
mysore pak,123,Mysore Pak,4,0,100,"cardamom, gram flour, ghee, sugar",
naan bread,124,Naan Bread,5,1,83.33333333,"yogurt, flour, sugar, salt, oil",yeast
navratan korma,125,Navratan Korma,12,2,85.71428571,"cashews, raisins, ginger, garlic, cumin, turmeric, paneer, onion, tomato, Coriadner seeds, garam masala, salt","vegetables, cream"
omelette,126,Omelette,7,0,100,"egg, onion, tomato, green chili, Coriadner seeds, salt, oil",
onion,127,Onion,1,0,100,onion,
onion pakoda,128,Onion Pakoda,9,0,100,"ginger, cumin, turmeric, onion, gram flour, green chili, red chili powder, salt, oil",
orange,129,Orange,1,0,100,orange,
palak paneer,11,palak paneer,11,11,100,"cumin, garam masala, garlic, ginger, green chili, oil, onion, paneer, salt, spinach, tomato",
paneer butter masala,15,paneer butter masala,10,10,100,"butter, coriander, garam masala, garlic, ginger, onion, paneer, red chili, salt, tomato",cream
papad,132,Papad,4,0,100,"black pepper, urad dal flour, salt, oil",
paratha,133,Paratha,4,0,100,"wheat flour, butter, salt, oil",
pav bhaji,32,pav bhaji,11,10,90.9,"butter, capsicum, cauliflower, garam masala, onion, peas, potato, red chili, salt, tomato",lemon
peanut chikki,135,Peanut Chikki,3,0,100,"peanuts, jaggery, ghee",
pear,136,Pear,1,0,100,pear,
peas,137,Peas,1,0,100,peas,
phirni,138,Phirni,7,0,100,"milk, cardamom, almonds, pistachios, rice, sugar, saffron",
pineapple,139,Pineapple,1,0,100,pineapple,
poha,41,poha,10,8,80,"curry leaves, green chili, mustard seeds, oil, onion, peanuts, potato, salt","lemon, poha"
popcorn,141,Popcorn,4,0,100,"butter, corn, oil, salt",
rabri,142,Rabri,6,0,100,"milk, cardamom, almonds, pistachios, sugar, saffron",
rajma,143,Rajma,9,0,100,"ginger, garlic, cumin, turmeric, kidney beans, onion, tomato, garam masala, salt",
ras malai,144,Ras Malai,7,0,100,"milk, cardamom, almonds, pistachios, paneer, sugar, saffron",
rasgulla,145,Rasgulla,4,0,100,"cardamom, paneer, sugar, water",
rice cooked,146,Rice Cooked,3,0,100,"rice, water, salt",
samosa,147,Samosa,11,0,100,"ginger, cumin, flour, potato, peas, onion, green chili, Coriadner seeds, chili powder, salt, oil",
sandwich,148,Sandwich,7,0,100,"bread, butter, lettuce, onion, tomato, cucumber, salt",
scrambled eggs,149,Scrambled Eggs,5,0,100,"milk, butter, black pepper, egg, salt",
shankarpali,150,Shankarpali,4,0,100,"cardamom, flour, sugar, ghee",
sheer khurma,151,Sheer Khurma,7,1,87.5,"milk, dates, cardamom, almonds, pistachios, sugar, ghee",vermicelli
sheera,152,Sheera,6,1,85.71428571,"cardamom, almonds, cashews, raisins, ghee, sugar",semolina
shelled soy bean,153,Shelled Soy Bean,1,0,100,soybean,
shrikhand,154,Shrikhand,4,0,100,"yogurt, cardamom, sugar, saffron",
spinach,155,Spinach,1,0,100,spinach,
spring rolls,156,Spring Rolls,9,1,90,"cabbage, garlic, ginger, flour, carrot, capsicum, onion, soy sauce, salt",vinegar
sprouts,157,Sprouts,1,0,100,sprouts,
stuffed karela,158,Stuffed Karela,8,1,88.88888889,"cumin, turmeric, onion, potato, green chili, chili powder, salt, oil",bitter gourd
sunny side up eggs,159,Sunny Side Up Eggs,3,0,100,"butter, egg, salt",
sweet potatoes,160,Sweet Potatoes,1,0,100,sweet potato,
taco,161,Taco,8,1,88.88888889,"lettuce, cumin, beans, tomato, cheese, onion, chili powder, salt",tortilla
toast,162,Toast,2,0,100,"bread, butter",
tomato,163,Tomato,1,0,100,tomato,
turnip,164,Turnip,1,0,100,turnip,
uttapam,165,Uttapam,8,0,100,"rice, urad dal, onion, tomato, green chili, curry leaves, salt, oil",
vada pav,166,Vada Pav,8,0,100,"bread, garlic, ginger, potato, green chili, Coriadner seeds, salt, oil",
watermelon,167,Watermelon,1,0,100,watermelon,